,Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
473,106,CCSFS,Transporter-1,"~5,000 kg",SSO,,"Success
","['F9 B5', 'B1058.5']",Success,24 January 2021,15:00
474,107,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 February 2021,06:19
475,108,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Failure,16 February 2021,03:59:37
476,109,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,4 March 2021,08:24
477,110,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,11 March 2021,08:13:29
478,111,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,14 March 2021,10:01
479,112,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.6']",Success,24 March 2021,08:28
480,113,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
",['F9 B5 ♺'],Success,7 April 2021,16:34
481,114,KSC,Crew-2,"~13,000 kg",LEO,NASA,"Success
","['F9 B5', 'B1061.2']",Success,23 April 2021,9:49
482,115,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1060.7']",Success,29 April 2021,03:44
483,116,KSC,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1049.9']",Success,4 May 2021,19:01
484,117,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1051.10']",Success,9 May 2021,06:42
485,118,KSC,Starlink,"~14,000 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1058.8']",Success,15 May 2021,22:56
486,119,CCSFS,Starlink,"15,600 kg",LEO,SpaceX,"Success
","['F9 B5', 'B1063.2']",Success,26 May 2021,18:59
487,120,KSC,SpaceX CRS-22,"3,328 kg",LEO,NASA,"Success
","['F9 B5', 'B1067.1']",Success,3 June 2021,17:29
488,121,CCSFS,SXM-8,"7,000 kg",GTO,Sirius XM,"Success
",['F9 B5'],Success,6 June 2021,04:26
